battery_power,clock_speed,four_g,int_memory,n_cores,pc,touch_screen,price_range
842,2.2,0,7,2,2,0,1
1021,0.5,1,53,3,6,1,2
563,0.5,1,41,5,6,1,2
615,2.5,0,10,6,9,0,2
1821,1.2,1,44,2,14,1,1
1859,0.5,0,22,1,7,0,1
1821,1.7,1,10,8,10,0,3
1954,0.5,0,24,4,0,1,0
1445,0.5,0,53,7,14,0,0
509,0.6,1,9,5,15,0,0
769,2.9,0,9,5,1,0,3
1520,2.2,1,33,8,18,1,3
1815,2.8,0,33,4,17,0,1
803,2.1,0,17,4,11,0,2
1866,0.5,1,52,1,17,0,0
775,1,0,46,2,16,1,0
838,0.5,1,13,8,4,0,3
595,0.9,1,23,3,17,1,3
1131,0.5,0,49,5,18,1,1
682,0.5,0,19,4,11,1,1
772,1.1,0,39,7,14,1,3
1709,2.1,0,13,2,2,0,3
1949,2.6,0,47,4,7,0,1
1602,2.8,1,38,3,20,0,0
503,1.2,1,8,3,13,0,1
961,1.4,1,57,8,3,1,2
519,1.6,1,51,4,19,0,3
956,0.5,1,41,7,6,1,3
1453,1.6,1,52,2,18,1,2
851,0.5,0,21,5,7,0,0
1579,0.5,0,5,7,9,0,3
1568,0.5,0,33,8,20,1,0
1319,0.9,1,41,1,18,1,1
1310,2.2,1,51,4,0,1,3
644,2.7,0,22,8,3,0,0
725,1.3,0,60,8,17,0,1
589,2.3,0,61,4,10,0,1
1725,1.6,1,6,2,18,1,3
790,2,1,11,6,17,0,2
560,0.5,0,50,2,20,1,2
1347,2.9,0,44,1,14,0,2
1646,2.3,1,41,2,10,1,3
1253,0.5,1,5,2,19,1,1
1656,1,1,34,3,7,1,1
1195,2.8,1,20,2,14,1,0
1514,2.9,0,27,3,1,1,1
1723,1.1,0,42,8,14,0,3
1054,1.8,1,40,7,10,0,1
578,2.6,1,57,8,8,0,0
596,2.1,0,64,8,15,0,3
1547,3,1,14,3,19,0,2
1760,1.4,0,63,8,19,1,2
1654,1.5,1,43,2,0,1,3
1457,1.9,1,16,3,10,0,1
1073,0.5,0,51,7,0,1,2
1936,2.1,1,46,3,20,0,2
823,2.7,0,60,8,19,1,0
987,1.3,1,61,3,9,0,3
1757,0.5,0,49,6,14,0,1
1063,1.4,1,48,5,4,1,2
1484,3,0,12,3,5,1,1
799,2.3,1,63,8,6,1,0
1156,1.2,1,50,2,0,1,0
1720,2,1,55,2,18,1,2
702,2.6,1,9,3,3,0,2
616,1.9,1,44,3,17,1,3
1358,0.5,1,36,4,14,1,3
1866,1.4,0,30,3,0,0,3
1242,1.1,0,10,2,1,0,0
1166,1.5,1,43,4,1,1,3
1448,0.5,1,45,7,11,1,3
1407,2.4,1,22,4,4,0,2
605,1,1,9,3,16,0,0
1038,1.2,0,43,1,5,1,3
797,2.9,0,38,4,6,1,0
819,0.6,1,42,6,20,0,1
1114,2.8,1,9,3,15,1,0
1234,1.6,0,33,1,3,0,0
1199,2.5,1,16,4,20,0,3
1103,1,0,29,6,8,1,1
1589,0.6,1,58,7,7,1,3
999,2.9,1,64,4,19,1,2
1510,0.9,0,45,5,3,1,3
1008,0.8,0,61,3,15,0,1
1127,2.9,1,57,1,13,1,1
1412,2.4,0,25,8,17,0,1
1496,2,0,42,5,5,1,0
1083,2.9,1,64,3,11,0,3
668,0.5,0,3,5,13,1,2
1309,1.1,0,33,4,14,0,2
1724,2,1,57,3,5,1,3
1977,2,1,54,7,18,1,2
885,2.3,1,15,7,0,1,0
879,2.5,1,14,6,15,0,0
1322,1.7,0,7,3,9,1,1
1137,1,0,7,3,19,1,3
1355,2.3,1,23,5,16,1,0
1665,0.5,1,60,6,18,0,2
657,2.5,0,37,2,1,1,0
593,0.5,0,31,7,7,0,1
1883,0.5,1,10,6,13,0,3
1732,1.1,1,12,8,9,0,1
543,0.5,0,57,5,4,0,1
1939,2.8,1,55,4,10,1,0
553,2.4,1,8,7,3,1,0
832,0.7,1,39,4,3,0,1
1661,1.9,0,23,5,10,1,3
1657,2.4,0,42,5,16,0,3
1135,2,0,46,1,4,1,3
1775,1.5,0,41,1,7,1,3
783,1.8,1,43,3,4,1,1
617,2.3,0,32,7,20,0,1
867,1.4,1,4,6,1,1,0
1310,1.1,0,7,5,14,1,2
1804,0.5,1,22,7,19,0,3
1900,2.3,1,18,7,9,1,3
909,1.4,0,53,8,0,0,2
1084,2.6,1,40,3,11,1,1
1308,1.3,0,46,1,12,1,0
1778,0.5,0,15,3,0,0,1
1701,1.6,0,10,8,7,1,2
772,2.4,1,10,4,2,1,3
825,0.5,0,52,3,10,1,3
1379,1.1,1,36,2,7,1,3
1166,2,1,25,5,4,0,2
1659,2.8,0,16,1,20,0,3
826,2.4,1,58,4,1,0,2
1564,2.3,1,25,6,17,1,1
1957,0.9,0,31,3,16,0,3
1571,1.4,1,19,6,1,1,0
1414,2,0,54,7,3,0,3
1790,2.5,0,2,1,14,1,1
645,0.5,0,41,7,10,1,2
668,2.9,0,30,8,12,1,1
1652,1.1,0,36,4,5,0,2
1213,0.5,0,16,5,0,0,2
1272,2.5,0,22,6,8,0,1
866,0.5,1,46,8,7,1,3
536,2.4,1,3,7,14,1,0
523,2.6,0,14,8,2,1,0
1753,0.5,1,31,1,18,0,2
1218,1.8,1,14,3,4,0,0
1537,2.5,1,43,1,5,1,3
786,2.2,0,33,7,6,0,2
1678,2.1,1,64,3,11,1,0
1814,1.4,1,9,2,2,0,3
1101,1.8,0,31,2,7,1,1
1461,2.4,1,40,7,4,0,3
1216,3,0,47,3,7,1,2
506,1.6,1,41,1,7,0,2
843,0.5,1,56,5,17,1,1
742,2.2,0,56,7,14,1,3
1692,2.1,1,61,6,12,0,1
1485,1,1,32,2,9,1,2
1547,2.9,0,45,2,8,1,0
1692,2.3,1,46,1,6,1,1
637,2.3,1,60,4,4,0,0
1224,0.5,1,6,6,18,1,0
1356,2.8,0,29,6,0,0,3
1840,0.5,0,34,1,16,0,1
1481,0.7,1,37,5,13,1,2
961,1.5,0,51,6,16,1,2
1296,0.9,1,14,5,3,1,0
1193,0.9,0,26,1,20,0,0
1441,2.1,1,3,8,17,0,2
517,1.4,1,33,4,8,0,3
748,1.7,1,27,8,4,0,1
1126,2.4,1,10,6,3,1,2
1572,0.6,1,58,7,8,0,3
1569,2.8,0,44,4,20,0,1
1270,0.6,1,32,7,6,1,3
1854,3,1,8,5,5,1,1
625,1.2,1,10,4,8,1,2
1577,0.5,1,42,5,4,0,2
534,0.5,1,16,5,1,0,3
946,1.7,1,25,6,15,1,2
685,0.5,0,29,7,10,0,0
1949,1.3,0,23,5,1,0,3
947,0.8,1,22,2,13,0,2
801,2.2,0,63,7,4,0,1
703,2.7,1,30,1,20,0,0
1165,2.4,0,41,6,12,0,0
1082,0.8,0,38,8,5,1,2
959,2.6,0,20,4,19,0,3
1502,1.2,0,54,5,12,1,3
1380,2.1,1,4,3,13,1,0
1266,0.5,1,5,6,9,0,2
1934,2.6,1,46,1,17,1,3
1905,0.5,1,6,1,5,1,1
1831,1.4,0,43,5,5,1,3
596,1.4,0,46,1,18,1,1
1562,1.3,1,7,5,15,0,2
1490,0.5,1,64,8,8,1,3
1523,2.4,1,57,2,6,1,3
640,0.6,0,20,4,15,1,2
1526,2.1,1,23,7,8,1,2
1989,2.5,1,41,3,13,1,2
1308,1.9,1,61,3,7,0,3
609,0.5,0,26,4,4,1,1
1905,0.6,1,36,3,20,0,1
1703,0.5,1,22,1,0,0,0
1445,2.4,1,20,7,15,1,1
1087,1.3,1,16,3,9,0,0
671,0.9,0,30,7,17,0,2
1472,2.3,0,61,6,19,0,2
765,0.5,1,47,8,1,0,2
1642,0.5,1,8,6,17,0,2
1265,1.5,0,49,5,16,0,1
664,1.1,1,51,7,4,1,3
1277,0.5,1,35,6,6,1,3
1395,1.8,0,23,3,1,0,2
1539,2.6,0,41,8,0,0,2
1049,2.2,0,63,5,17,0,0
1827,1.7,1,39,5,16,1,2
903,1,1,50,1,0,1,0
1987,0.5,1,53,3,7,1,3
1154,1.2,1,49,8,2,0,0
1336,0.9,1,17,5,9,1,1
1886,0.5,1,24,3,1,0,1
1551,1.1,0,51,5,6,1,3
850,1.6,1,29,5,19,0,0
660,0.5,1,40,2,10,1,0
1225,2.1,0,13,4,12,0,3
1452,0.5,1,25,6,11,0,2
1686,2.8,0,38,4,4,0,3
1634,1.4,1,17,2,5,1,3
1708,2.4,1,49,1,19,1,3
1151,2.9,0,31,8,1,1,2
1578,1.9,1,37,4,19,0,2
1689,1.8,0,24,3,18,1,3
1488,0.5,0,39,5,6,0,3
1313,1.8,0,9,1,6,1,3
1715,1,1,31,8,17,0,0
1442,1,0,27,3,19,1,1
528,1.7,1,6,2,15,1,2
1523,1.8,1,11,1,8,1,0
1133,1.4,0,42,5,12,0,1
1718,2.5,1,6,5,16,1,3
1330,0.5,0,38,7,1,0,1
1799,0.5,0,49,4,2,1,0
633,2.2,1,49,8,1,1,2
724,2.7,0,44,7,0,0,2
822,0.5,1,51,6,20,0,3
1918,1.9,0,10,5,10,1,2
1891,2.8,1,37,7,14,0,3
1373,1,0,50,7,12,0,3
862,0.8,0,23,2,15,0,0
1273,1,1,48,4,15,1,1
957,2.5,0,7,5,10,0,1
1617,1.3,1,30,2,4,0,0
893,2.5,0,55,2,1,1,2
1210,0.5,0,63,5,0,0,2
708,2.7,1,63,8,7,1,1
835,1.1,0,7,4,7,1,0
1450,2.7,0,19,1,17,0,0
973,1.5,1,57,7,16,0,2
601,1.4,1,4,4,13,1,0
507,0.5,0,32,7,11,1,1
564,1.8,1,51,3,1,1,0
1559,1.6,1,6,6,17,1,3
754,0.5,1,59,7,10,0,1
728,2.7,0,25,4,1,1,1
1431,0.5,1,56,1,1,0,0
767,1.5,0,28,4,10,1,0
1722,2.6,0,18,2,16,0,3
1992,1.6,1,57,2,15,1,1
1876,0.5,1,40,6,14,1,3
1054,1.1,1,38,6,12,1,1
1283,1.6,0,47,5,5,1,2
1281,2.3,0,28,1,6,1,1
1066,0.6,1,7,7,18,1,0
730,2.1,1,4,8,2,1,0
1053,0.8,1,45,1,12,1,3
1611,0.5,0,3,3,14,0,1
793,1,1,30,2,15,1,2
1220,2.9,0,62,4,8,1,2
1662,0.5,1,61,4,13,1,3
1281,2.8,1,8,4,19,1,1
538,0.8,1,2,7,13,0,0
823,0.5,0,39,8,4,0,0
1733,2.8,1,36,6,20,0,3
1429,1.5,1,40,3,14,0,3
1839,1.2,1,54,7,11,0,1
659,2.7,1,6,3,7,0,1
1953,2.1,0,56,8,9,0,2
1172,1.9,1,27,1,3,0,1
612,1.9,0,16,7,7,0,3
1563,2.4,1,24,8,0,1,3
1191,1.3,1,26,1,20,0,1
615,0.5,0,42,6,4,0,1
1893,2.1,0,63,2,11,1,3
1563,1.7,0,16,7,13,0,3
1995,1.9,0,9,6,18,1,2
1517,0.5,1,48,5,14,1,3
832,1.6,1,34,5,5,1,0
1162,2,1,56,7,1,0,1
1595,2.6,0,12,8,19,1,3
1329,1,0,52,6,2,0,1
928,0.5,0,56,8,13,1,0
1656,0.5,1,38,7,17,0,1
1937,1.7,0,58,1,19,1,3
977,1.1,0,57,6,7,1,0
768,0.9,1,56,1,20,0,0
1464,0.5,0,12,2,14,1,3
1177,0.9,1,29,2,8,0,0
1348,2,0,52,3,20,1,1
1956,2.2,1,37,3,2,1,1
1751,0.5,0,8,6,20,0,2
1530,2,0,42,6,13,0,0
1997,1.8,0,40,4,8,0,2
1414,1.5,0,44,2,6,1,3
1707,1.4,0,41,7,2,0,2
894,0.5,1,50,3,14,0,3
645,1.2,1,41,8,17,1,0
1163,2.8,0,49,2,0,0,2
1126,0.7,0,49,8,17,0,3
1648,0.7,1,64,4,9,1,1
1170,0.9,1,14,2,13,0,0
508,0.8,1,42,1,8,0,0
1097,2.1,0,64,3,8,0,1
728,1.7,1,5,2,20,1,0
1980,0.5,1,29,1,13,0,3
1504,2.3,0,64,1,2,1,3
1379,2.1,1,63,1,17,1,0
1698,2.1,1,18,6,20,0,0
920,2.1,0,25,7,14,1,0
1144,1.5,0,21,1,11,0,2
1995,0.5,0,26,1,15,1,1
1430,0.5,0,27,1,16,1,2
972,0.5,0,13,5,8,1,1
662,0.5,0,20,1,10,1,1
1867,2.3,1,9,6,3,0,1
1730,2,1,20,4,10,1,1
1723,1,1,7,3,17,1,1
1882,1.3,0,47,2,13,0,2
803,0.8,0,18,4,1,1,2
580,1.2,0,47,3,1,1,3
668,2.3,1,48,1,19,1,0
1391,1.4,1,36,1,6,1,2
1560,2.3,1,22,7,1,1,2
821,1.8,0,54,3,9,0,2
811,2.4,1,2,6,13,0,1
1989,2.9,0,17,8,15,1,2
1034,2.7,0,37,7,20,1,3
618,2.1,0,6,1,4,0,0
654,1.3,1,52,4,4,0,1
576,2.8,1,10,5,7,1,2
667,0.6,1,3,6,13,0,2
869,1,1,57,1,15,0,2
635,0.5,0,42,3,4,0,2
609,3,1,44,1,16,0,1
1557,2.8,0,2,5,20,0,3
1604,1.7,0,33,8,5,1,0
1182,0.5,1,8,8,16,0,2
848,2.1,1,19,7,18,0,2
1610,2.9,1,64,4,12,1,1
1828,2.1,0,17,1,1,0,2
880,2,1,50,7,3,0,0
1394,0.9,1,62,5,13,1,0
1960,2.3,1,61,7,3,0,3
809,0.8,0,21,7,19,0,1
899,0.5,1,57,2,18,1,0
1976,0.7,0,32,2,7,1,3
879,1.5,1,21,4,2,0,2
916,2.6,0,36,4,12,1,0
763,1.7,1,2,8,14,1,0
508,1.6,0,9,6,2,1,2
825,2.9,0,34,8,17,1,3
1864,1.4,1,46,1,12,1,2
1725,0.5,1,52,6,12,1,1
1108,2.9,0,52,2,12,1,3
1011,1.1,1,36,7,18,1,1
1703,1.5,1,55,5,19,1,3
1067,1.7,0,58,7,0,1,0
1334,2.4,1,42,5,14,0,3
775,2.6,0,30,7,10,0,2
1899,0.6,0,26,2,0,0,0
930,1.3,1,14,6,10,1,1
1058,1.5,0,19,4,14,0,0
1187,2.2,1,46,2,9,0,3
1874,2.7,0,8,7,13,0,1
1482,0.5,0,48,7,10,1,2
1809,1.7,1,59,3,4,0,2
864,3,1,54,2,1,1,2
625,1.9,1,33,1,20,0,2
1880,1.8,1,18,3,5,0,3
1138,1.4,1,44,8,17,0,3
560,0.5,0,23,8,15,1,1
1117,0.5,0,12,7,8,1,2
1712,1.4,0,63,7,12,0,3
1836,1.7,0,26,6,16,1,3
1036,2.4,0,39,7,3,1,1
1860,2.3,0,23,4,16,1,3
1375,1.1,1,9,7,19,1,3
1945,1.6,1,57,4,1,1,1
1896,0.5,1,7,2,13,0,3
788,2.5,1,57,8,12,1,3
880,1.7,0,33,2,2,1,0
1323,2.5,1,28,4,12,1,1
1868,2,1,42,1,4,1,3
1266,1.9,1,7,3,12,1,2
1042,2.7,1,50,7,18,1,3
1479,0.5,0,19,3,10,0,3
1476,1.2,1,55,4,5,0,2
1552,2.2,1,13,6,9,1,2
1454,0.5,0,34,4,3,1,3
1007,2,0,45,5,2,0,3
652,2.4,1,17,5,11,0,0
1504,1.5,1,34,8,15,0,2
1726,0.9,0,51,4,3,0,2
1029,1.9,1,5,5,8,1,0
1582,2.8,1,44,6,13,1,3
1478,0.8,0,48,5,17,0,1
1178,1.3,0,49,5,0,0,2
707,2.1,0,25,3,17,0,3
755,2.8,1,51,4,12,0,2
912,2,0,54,8,5,1,1
651,0.8,1,63,5,4,1,1
1483,2.1,1,54,7,2,1,1
914,0.9,0,4,2,12,1,0
1456,0.5,0,7,5,12,0,1
1178,2.2,0,57,3,17,1,2
1503,0.7,1,43,4,14,0,2
1681,2.5,0,11,2,13,1,0
715,2.3,0,48,4,6,0,2
1876,2.8,1,56,3,4,0,2
1190,2.2,0,47,6,10,1,0
1755,1.3,1,24,7,2,0,3
1197,1.3,1,20,6,7,1,1
1048,0.9,1,28,2,19,0,1
1887,3,1,17,8,7,1,3
1772,0.5,0,64,8,15,1,1
1421,2.8,1,57,1,2,0,3
1464,0.5,1,17,6,8,0,1
728,2.3,0,23,4,5,1,0
954,0.5,0,50,2,11,0,0
685,0.5,1,13,7,15,1,3
1472,2.8,0,36,6,10,1,1
853,2,1,3,2,16,1,3
1469,2.1,0,8,7,0,1,0
1310,2.3,0,57,8,9,0,0
1654,1.8,0,11,7,2,1,1
902,0.7,0,3,7,9,0,3
1448,1.4,0,26,3,16,1,1
1631,0.9,1,3,7,12,0,0
1608,1.8,0,28,2,13,0,0
1991,2.7,1,64,2,13,1,2
1349,2,0,62,5,16,0,2
1589,2.5,1,51,1,18,0,2
1844,2.3,0,51,8,3,1,1
712,0.5,1,35,2,10,1,1
972,1.7,1,54,3,4,0,1
1406,0.5,1,34,3,5,0,3
1289,0.9,1,25,6,12,1,0
932,1.3,0,64,7,2,1,3
1747,0.9,1,48,3,19,1,2
1172,2.1,0,41,3,7,0,1
1128,1.4,0,53,5,14,1,3
664,1.2,0,28,5,5,1,1
513,0.5,1,44,4,12,1,0
1742,2.3,1,43,7,12,0,2
1512,1.7,0,6,7,17,1,2
1986,0.5,1,51,8,20,1,1
965,1.5,0,13,2,14,1,0
1067,2.4,1,40,8,15,0,0
1583,1.6,1,42,3,10,0,3
1653,0.5,1,37,4,6,1,3
1433,1.6,0,4,8,11,1,0
765,2.9,1,18,7,0,1,0
1845,0.5,0,61,1,12,0,1
752,0.5,0,48,7,13,0,3
1948,2.8,0,16,5,10,1,3
1077,2.5,1,45,3,4,1,1
932,0.5,1,60,4,2,1,0
1968,0.9,0,22,3,7,0,2
1122,1.2,0,2,4,14,1,2
1588,0.5,1,61,1,13,1,3
601,2.1,0,26,4,18,0,0
1615,0.5,0,15,4,16,0,3
1589,2.2,0,58,4,4,0,3
1417,2.7,1,56,6,4,0,0
1697,0.7,1,34,1,3,1,3
1330,1.3,0,3,5,17,0,0
1476,0.5,1,43,2,2,0,3
1579,1.5,0,27,6,18,1,1
1277,3,1,41,4,3,1,0
1089,0.9,1,2,5,15,0,2
1663,2.5,1,27,4,14,0,2
1949,1.8,0,20,5,4,0,1
1138,1.1,1,48,3,14,1,2
685,2.7,0,17,6,20,0,0
1889,2.8,1,31,1,10,1,3
857,2,0,17,7,9,1,2
1902,2.8,0,50,8,9,1,0
1225,2.4,0,15,5,0,1,1
1066,1.6,0,39,5,17,1,2
1554,0.5,0,5,3,12,0,3
1337,0.5,0,31,2,20,0,1
1926,1.7,1,33,3,2,0,2
869,1.3,0,34,2,4,0,3
1278,0.5,0,54,8,16,0,0
1773,2.5,1,32,6,18,0,3
1661,0.8,1,6,7,2,0,1
1438,2.2,1,32,7,6,1,0
1661,1.4,0,29,2,0,1,0
1846,0.6,0,19,1,2,1,1
1260,2,1,23,7,10,0,2
512,0.5,0,15,3,15,1,2
581,2.2,0,59,5,6,0,2
1872,2.3,0,44,3,15,0,2
687,1.3,1,50,4,20,1,3
1062,2.5,0,10,1,13,0,3
1678,2.3,0,7,1,14,0,0
1417,0.5,1,45,4,19,0,1
1074,2.4,1,9,6,14,1,1
1832,0.7,0,2,7,6,0,2
1039,1.3,1,12,8,0,1,1
1059,2.4,0,61,3,18,1,3
1606,1.4,0,57,4,4,0,3
1928,1.8,1,19,3,20,1,3
1875,0.5,1,55,1,17,0,3
1128,1.1,1,46,8,10,0,1
1748,1.7,1,14,3,7,0,3
1413,0.5,0,51,5,11,0,3
825,0.5,1,23,2,0,0,3
1589,1.4,1,26,8,16,0,3
535,0.5,1,54,8,15,0,2
1780,0.5,0,27,4,11,1,3
1671,0.6,1,61,2,11,0,2
1821,0.9,1,12,1,18,1,2
1076,2.6,1,38,6,8,1,0
532,0.8,0,8,5,10,1,0
777,2.6,0,30,5,17,0,3
1217,0.5,0,17,4,13,0,1
1656,1.6,0,16,7,2,1,2
1185,1.9,0,31,8,7,1,2
577,2.4,1,37,6,20,1,0
737,2.4,0,49,4,16,1,2
704,2.2,0,53,6,6,1,2
525,0.5,0,51,8,11,1,1
504,0.5,0,16,1,9,0,0
793,1.2,1,38,4,7,1,3
569,0.6,0,39,8,9,0,1
1590,1.9,1,21,5,18,0,1
707,0.5,1,16,2,0,1,1
767,1.9,1,19,6,17,1,1
1350,0.5,1,50,8,4,1,1
1117,0.6,0,31,2,7,1,2
641,1.1,1,7,1,3,1,2
1002,0.8,1,35,2,4,0,1
1408,2.1,0,45,5,14,0,3
1900,2,0,41,8,6,1,1
726,2.9,0,43,8,0,1,0
1544,2.3,1,45,8,20,1,1
1454,1.6,1,21,4,10,1,0
1230,2.2,0,26,5,7,1,0
1552,1.2,1,53,8,18,0,2
1519,2.1,0,32,1,10,1,2
723,1.9,0,30,1,7,1,2
1191,2.4,0,13,1,7,1,0
1168,1.3,0,61,8,10,0,3
1229,0.5,0,14,2,16,0,1
1758,0.5,1,13,8,14,0,2
1290,0.5,0,3,6,4,1,1
574,2.8,0,38,6,17,1,2
1271,0.5,0,32,7,15,0,0
1170,1.2,0,30,8,15,1,0
1269,1.3,0,52,2,15,0,1
1288,2.8,0,50,2,20,0,3
1366,0.7,1,34,2,9,0,3
1572,0.8,1,8,5,8,1,3
1627,0.9,1,32,6,16,1,3
1701,0.5,1,46,2,15,1,3
1900,0.5,1,55,1,1,0,3
1974,1,0,24,7,13,0,0
1197,0.5,0,20,5,10,1,2
587,2.3,0,6,1,16,1,2
934,1.1,0,24,5,12,0,0
1195,2,1,23,4,9,0,0
1853,1,0,23,1,15,0,3
1164,1,1,19,8,18,0,3
1512,0.5,1,18,3,17,1,3
1232,2.9,1,24,5,17,0,0
1813,0.6,1,5,3,8,1,0
946,2.6,0,5,3,20,1,3
739,2.3,1,58,3,4,0,0
704,2.7,1,29,1,10,1,0
1663,0.5,0,40,4,15,0,1
1966,1.4,0,40,8,18,1,2
1219,1,0,17,5,4,1,0
612,0.7,0,35,5,12,0,2
1658,1.4,1,39,1,5,0,3
1263,0.5,0,64,5,18,0,1
1395,2.8,1,55,3,1,1,3
621,2.7,0,54,4,20,1,2
652,0.5,0,58,3,2,0,0
1175,0.6,0,25,2,12,0,2
561,1,0,11,8,10,1,2
1137,2.2,1,3,5,7,0,0
1835,2.3,1,11,7,13,0,0
1170,2.9,0,40,6,5,1,1
1595,0.8,1,44,4,20,0,3
1719,2,0,12,8,7,0,0
1770,2.3,0,7,7,6,0,1
1312,0.5,1,28,2,0,0,1
1878,1.5,1,56,5,13,1,2
1871,2,1,20,7,14,1,2
922,1.5,1,35,7,15,1,0
1975,1.5,1,16,8,11,1,2
1212,2.6,1,46,4,8,1,2
1430,0.9,0,56,3,5,0,0
1958,1.9,0,4,2,3,0,1
1836,2.1,1,30,7,15,1,3
557,1.6,0,24,3,0,0,0
539,0.6,0,21,7,14,0,2
880,0.5,0,44,8,15,1,2
1369,1.8,0,34,1,7,1,3
1109,2.7,0,39,1,9,1,1
843,1.8,0,16,5,6,0,3
598,2.3,0,21,2,10,0,2
972,2.7,0,5,4,2,0,2
1944,0.5,1,36,6,18,1,1
1225,0.7,1,2,7,1,1,2
644,1.3,1,30,1,16,0,2
1919,1.5,1,48,4,6,0,1
501,2.3,1,54,4,19,0,1
1620,2.2,1,30,3,3,0,0
1227,1.1,0,34,3,3,1,1
1359,0.5,1,58,6,3,1,0
1914,0.7,0,35,8,2,0,1
1645,1.8,0,21,7,2,0,0
1063,1.1,1,26,5,2,0,3
946,2.1,1,19,8,0,1,1
1231,1.2,0,54,3,10,1,1
1397,2.9,0,9,6,18,1,3
701,0.7,0,15,3,11,1,1
570,0.5,0,9,7,5,0,3
1993,0.5,1,27,8,11,0,2
955,0.5,0,43,5,8,1,1
924,0.5,1,47,8,6,0,1
600,0.5,0,14,5,2,0,0
518,0.8,0,3,7,1,0,2
1063,2.5,1,31,6,10,1,0
920,0.5,0,46,3,3,0,2
1715,1.9,1,3,5,6,0,0
1841,1.3,0,14,8,8,0,2
543,0.5,1,60,5,7,1,0
1762,2.7,1,25,1,14,1,1
1112,0.5,0,53,4,16,1,3
709,2,0,35,1,0,1,1
1315,2.6,0,64,7,16,0,2
1762,2.5,1,15,8,11,1,2
1462,1.7,0,25,7,18,0,0
571,1.6,0,35,7,20,1,1
666,0.5,1,54,3,13,1,0
1994,1.5,1,7,8,7,0,3
1583,2.1,0,14,7,16,0,2
1778,1.4,1,45,4,17,1,1
1926,1.1,1,50,6,17,1,3
966,0.6,1,50,4,10,0,2
568,2,0,36,3,4,0,0
1897,3,1,21,8,2,1,0
1695,0.5,1,46,3,9,1,1
